Z_PK,Z_ENT,Z_OPT,ZUUIDHASH,ZEVENT,ZSOURCE,ZCATEGORYTYPE,ZINTEGERVALUE,ZCOMPATIBILITYVERSION,ZENDDAYOFWEEK,ZENDSECONDOFDAY,ZHASCUSTOMMETADATA,ZHASSTRUCTUREDMETADATA,ZSECONDSFROMGMT,ZSHOULDSYNC,ZSTARTDAYOFWEEK,ZSTARTSECONDOFDAY,ZVALUECLASS,ZVALUEINTEGER,ZVALUETYPECODE,ZSTRUCTUREDMETADATA,ZVALUE,Z9_VALUE,ZIDENTIFIERTYPE,ZQUANTITYTYPE,ZCREATIONDATE,ZLOCALCREATIONDATE,ZCONFIDENCE,ZENDDATE,ZSTARTDATE,ZVALUEDOUBLE,ZDOUBLEVALUE,ZUUID,ZSTREAMNAME,ZVALUESTRING,ZSTRING,ZMETADATA
8139,11,1,-391747094628595183,,292.0,,,0,5,55792,0,1,3600,0,5,55792,1,908971599454435065,-635635896434291546,6567.0,,,,,723050992.357522,723050992.357522,1.0,723050992.0,723050992.0,9.089715994544351e+17,,E82BD590-C305-4FC4-816F-E02A31E515D5,/discoverability/signals,com.apple.screencapture.invoke,,
8185,11,1,1790830948377699945,,293.0,,,0,6,50317,0,1,3600,0,6,50317,1,2157847040686542601,-635635896434291546,5575.0,,,,,723131917.130216,723131917.130216,1.0,723131917.0,723131917.0,2.1578470406865426e+18,,AFC09816-4040-41A2-ABE4-813689D49762,/discoverability/signals,com.apple.notificationcenter.opened,,
8270,11,1,-5247477572339846212,,294.0,,,0,3,37439,0,1,3600,0,3,37439,1,-6235543431298324028,-635635896434291546,6726.0,,,,,723464639.920705,723464639.920705,1.0,723464639.0,723464639.0,1.2211200642411227e+19,,4CAE9859-2955-4E1A-B517-D70EE173311D,/discoverability/signals,com.apple.spotlight.invoked,,
8456,11,1,1045794456242011356,,295.0,,,0,3,82292,0,1,3600,0,3,82292,1,-6235543431298324028,-635635896434291546,6726.0,,,,,724114292.908376,724114292.908376,1.0,724114292.0,724114292.0,1.2211200642411227e+19,,D1B4CBCD-DB31-4A82-9857-95684AE2283B,/discoverability/signals,com.apple.spotlight.invoked,,
8463,11,1,-9015499945219952740,,296.0,,,0,3,82548,0,1,3600,0,3,82548,1,2236308892753624024,-635635896434291546,6726.0,,,,,724114548.353413,724114548.353413,1.0,724114548.0,724114548.0,2.236308892753624e+18,,2502344F-918B-4E60-B714-E28A8331EB2A,/discoverability/signals,com.apple.controlcenter.presented,,
8497,11,1,4550661862398105646,,297.0,,,0,4,34837,0,1,3600,0,4,34837,1,2687269364483809848,-635635896434291546,6880.0,,,,,724153237.850136,724153237.850136,1.0,724153237.0,724153237.0,2.68726936448381e+18,,A5826D39-F1D0-48D7-BEED-4F8BDC15F42A,/discoverability/signals,com.apple.Safari.user-opened-tab,,
8650,11,1,6924706654266092489,,298.0,,,0,6,83320,0,1,3600,0,6,83320,1,2687269364483809848,-635635896434291546,6880.0,,,,,724288120.728914,724288120.728914,1.0,724288120.0,724288120.0,2.68726936448381e+18,,D7E2BCA2-3B07-46CA-92D7-648715EDEE4A,/discoverability/signals,com.apple.Safari.user-opened-tab,,
9292,11,1,2346894766751850185,,338.0,,,0,1,39453,0,1,3600,0,1,39453,1,2007560149083090365,-635635896434291546,6726.0,,,,,725713053.24486,725713053.24486,1.0,725713053.0,725713053.0,2.0075601490830904e+18,,8B3E11BF-E79E-4252-A131-0CCDE1EB5C6C,/discoverability/signals,com.apple.siri.dictation.siri-request-started,,
9294,11,1,4078386051106660057,,339.0,,,0,1,39456,0,1,3600,0,1,39456,1,2236308892753624024,-635635896434291546,6726.0,,,,,725713056.657638,725713056.657638,1.0,725713056.0,725713056.0,2.236308892753624e+18,,D3F8C451-9E5D-44A7-9DB0-A69A79AAB9B9,/discoverability/signals,com.apple.controlcenter.presented,,
9375,11,1,1028021970197659526,,340.0,,,0,3,56280,0,1,3600,0,3,56280,1,2687269364483809848,-635635896434291546,6880.0,,,,,725902680.428217,725902680.428217,1.0,725902680.0,725902680.0,2.68726936448381e+18,,5CF26864-BB7C-4552-8E3F-D3AF3CC64386,/discoverability/signals,com.apple.Safari.user-opened-tab,,
9460,11,1,-3254975692293986031,,342.0,,,0,4,34122,0,1,3600,0,4,34122,1,2236308892753624024,-635635896434291546,6726.0,,,,,725966922.954667,725966922.954667,1.0,725966922.0,725966922.0,2.236308892753624e+18,,826AA330-27CC-46B2-B5CB-A170AE94038A,/discoverability/signals,com.apple.controlcenter.presented,,
